objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,color,monochromatic,format,camera,accessmode,edits,original,style
coll011,011_teddyii.jpeg,,,Teddy II,Rebecca Zarrella,2019-05-01,,animals;domesticated;dogs,"Clarksburg, MD",39.2351223,-77.2513392,Original,11,Image;StillImage,image/jpeg,eng,,,brown;green,,.jpeg,samsunggalaxys7,visual,instagram,,
coll012,012_raindropsonflowers.jpeg,,,Raindrops on Flowers,Rebecca Zarrella,2018-06-09,,nature;plants;flowers,"Urbana, MD",39.3247083,-77.3457362,Original,12,Image;StillImage,image/jpeg,eng,,,white;yellow;green,,.jpeg,canoneosrebelt5i,visual,,original,
coll013,013_desertrose.jpeg,,,Desert Rose,Rebecca Zarrella,2021-08-11,,nature;plants;houseplants,"Severn, MD",39.1253896,-76.6766082,Original,13,Image;StillImage,image/jpeg,eng,,,black;white,monochromatic,.jpeg,samsunggalaxys21,visual,instagram,,
coll014,014_teddyiii.jpeg,,,Teddy III,Rebecca Zarrella,2019-05-18,,animals;domesticated;dogs,"Derwood, MD",39.1157732,-77.1662877,Original,14,Image;StillImage,image/jpeg,eng,,,brown;blue,,.jpeg,samsunggalaxys7,visual,instagram,,
coll015,015_sanjosebridge.jpeg,,,San Jose Bridge,Rebecca Zarrella,2017-09-12,,outdoor;bridge;cars,"San Jose, CA",37.3381447,-121.8863398,Original,15,Image;StillImage,image/jpeg,eng,,,blue;white,,.jpeg,samsunggalaxys7,visual,instagram,,
coll016,016_chicken.jpeg,,,Chicken,Rebecca Zarrella,2017-09-22,,animals;domesticated;chickens,"Frederick, MD",39.4111089,-77.394599,Original,16,Image;StillImage,image/jpeg,eng,,,brown;red,,.jpeg,samsunggalaxys7,visual,instagram,,
coll017,017_bonsai.jpeg,,,Bonsai,Rebecca Zarrella,2021-10-15,,nature;plants;houseplants,"Severn, MD",39.1253896,-76.6766082,Original,17,Image;StillImage,image/jpeg,eng,,,gray;yellow;green,,.jpeg,samsunggalaxys21,visual,samsunggalaxy,,
coll018,018_lighthouseview.jpeg,,,Lighthouse View,Rebecca Zarrella,2021-10-19,,outdoor;landscape;horizon,"Duck, NC",36.3767855,-75.8303575,Original,18,Image;StillImage,image/jpeg,eng,,,blue;white;green,,.jpeg,samsunggalaxys21,visual,,original,
coll019,019_boat.jpeg,,,Boat,Rebecca Zarrella,2021-09-14,,outdoor;landscape;boat,"Monterey, CA",36.6042798,-121.8925884,Original,19,Image;StillImage,image/jpeg,eng,,,blue;brown,,.jpeg,samsunggalaxys7,visual,instagram,,
coll020,020_teddyiv.jpeg,,,Teddy IV,Rebecca Zarrella,2018-08-25,,animals;domesticated;dogs,"Urbana, MD",39.3247083,-77.3457362,Original,20,Image;StillImage,image/jpeg,eng,,,brown,,.jpeg,canoneosrebelt5i,visual,,original,
